UserId,FirstName,LastName,Gender,PhoneNumber,Email,Password_,Role_
1,Hassan,Amr,m,1167631343,user1@university.edu.eg,Pass!234,student
2,Fatma,Hassan,f,1081450611,user2@university.edu.eg,Pass!234,student
3,Khaled,Nour,m,1556510960,user3@university.edu.eg,Pass!234,student
4,Amira,Khaled,m,1142797855,user4@university.edu.eg,Pass!234,student
5,Youssef,Samir,m,1215184502,user5@university.edu.eg,Pass!234,student
6,Hassan,Said,m,1033448674,user6@university.edu.eg,Pass!234,student
7,Noha,Amr,f,1240948143,user7@university.edu.eg,Pass!234,student
8,Sarah,Farid,f,1564006163,user8@university.edu.eg,Pass!234,student
9,Hassan,Samir,f,1564847136,user9@university.edu.eg,Pass!234,student
10,Khaled,Mahmoud,f,1540831219,user10@university.edu.eg,Pass!234,student
11,Khaled,Hassan,f,1233101383,user11@university.edu.eg,Pass!234,student
12,Amira,Mahmoud,m,1564710375,user12@university.edu.eg,Pass!234,student
13,Youssef,Samir,f,1588110973,user13@university.edu.eg,Pass!234,student
14,Fatma,Nour,m,1243163773,user14@university.edu.eg,Pass!234,student
15,Amira,Farid,f,1041146082,user15@university.edu.eg,Pass!234,student
16,Amira,Amr,f,1031739356,user16@university.edu.eg,Pass!234,student
17,Sarah,Amr,m,1129576703,user17@university.edu.eg,Pass!234,student
18,Mariam,Amr,m,1185092305,user18@university.edu.eg,Pass!234,student
19,Youssef,Farid,m,1128877237,user19@university.edu.eg,Pass!234,student
20,Mohamed,Ali,m,1233705256,user20@university.edu.eg,Pass!234,student
21,Amira,Farid,f,1587633091,user21@university.edu.eg,Pass!234,student
22,Laila,Said,f,1065403796,user22@university.edu.eg,Pass!234,student
23,Mariam,Farid,m,1533508102,user23@university.edu.eg,Pass!234,student
24,Mohamed,Samir,m,1215853584,user24@university.edu.eg,Pass!234,student
25,Laila,Ali,m,1534947744,user25@university.edu.eg,Pass!234,student
26,Youssef,Amr,m,1547856186,user26@university.edu.eg,Pass!234,student
27,Ahmed,Samir,m,1258673237,user27@university.edu.eg,Pass!234,student
28,Laila,Samir,m,1211983509,user28@university.edu.eg,Pass!234,student
29,Noha,Adel,f,1128298917,user29@university.edu.eg,Pass!234,student
30,Mariam,Ibrahim,m,1187729132,user30@university.edu.eg,Pass!234,student
31,Laila,Ali,m,1283214389,user31@university.edu.eg,Pass!234,student
32,Omar,Samir,f,1536365210,user32@university.edu.eg,Pass!234,student
33,Ahmed,Ibrahim,m,1268245345,user33@university.edu.eg,Pass!234,student
34,Khaled,Ibrahim,f,1021326237,user34@university.edu.eg,Pass!234,student
35,Khaled,Ali,f,1071864219,user35@university.edu.eg,Pass!234,student
36,Noha,Adel,m,1297692768,user36@university.edu.eg,Pass!234,student
37,Laila,Mahmoud,m,1059114107,user37@university.edu.eg,Pass!234,student
38,Laila,Nour,m,1050820227,user38@university.edu.eg,Pass!234,student
39,Sarah,Said,m,1289688895,user39@university.edu.eg,Pass!234,student
40,Laila,Nour,m,1063059071,user40@university.edu.eg,Pass!234,student
41,Hassan,Farid,f,1022707035,user41@university.edu.eg,Pass!234,student
42,Fatma,Amr,m,1180560220,user42@university.edu.eg,Pass!234,student
43,Omar,Said,m,1146998516,user43@university.edu.eg,Pass!234,student
44,Sarah,Farid,m,1176385640,user44@university.edu.eg,Pass!234,student
45,Youssef,Samir,f,1088384476,user45@university.edu.eg,Pass!234,student
46,Sarah,Amr,m,1052058334,user46@university.edu.eg,Pass!234,student
47,Hassan,Hassan,m,1259742523,user47@university.edu.eg,Pass!234,student
48,Youssef,Ali,m,1065174259,user48@university.edu.eg,Pass!234,student
49,Omar,Said,f,1253369428,user49@university.edu.eg,Pass!234,student
50,Hassan,Said,m,1541725526,user50@university.edu.eg,Pass!234,student
51,Mohamed,Samir,f,1028992383,user51@university.edu.eg,Pass!234,instructor
52,Fatma,Mahmoud,f,1266877183,user52@university.edu.eg,Pass!234,instructor
53,Omar,Ibrahim,m,1194574185,user53@university.edu.eg,Pass!234,instructor
